name	glass-size (oz)	category		measurement-1	Units	ingredient-1	measurement-2	units	ingredient-2	measurement-3	units	ingredient-3	measurement-4	units	ingredient-4	Measurement-5	Units	ingredient-5	measurement-6	units	ingredient-6	special ingredients	instructions	glass	glass-size (oz)
Golden Frappe	14	Cocktail Classics		1	oz	 Orange Juice	2	oz	 Lemon Juice	1	oz	 Sugar	1	oz	 Port								"Stir orange juice, lemon juice, and sugar in collins glass. Add crushed ice and port."	Collins Glass	14
Glass Tower	14	Vodka		1	oz	 Vodka	1	oz	 Peach schnapps	1	oz	 White rum	1	oz	 Triple Sec	0.50	oz	 Sambuca			 Lime soda	"Orange Slice, Cherry"	"Pour first five ingredients into Collins glass. Add ice, then fill with lemon-lime soda and stir. Garnish with an orange slice and a cherry."	Collins Glass	14
Golden Fizz	7	Cocktail Classics		0.5	oz	 Juice of a Lemon	0.5	oz	 Powdered Sugar	1.5	oz	 Gin	1	oz	 Egg Yolk								Shake with ice and strain into highball glass. Fill with carbonated water.	Highball Glass	7
Gloom Lifter	7	Cocktail Classics		1	oz	 Blended whiskey	0.5	oz	 Brandy	0.5	oz	 Juice of a Lemon	1	oz	 Raspberry Syrup	0.50	oz	 Sugar	1	oz	 Egg White		Shake with ice and strain into highball glass with ice cubes.	Highball Glass	7
Glogg	3	Cocktail Classics		50.6	oz	" Wine (Port, Cream Sherry, Claret, Burgundy, or Madeira)"	2	oz	 Dried Orange Peel	2	oz	 Cinnamon sticks	20	count	Cardamom Seeds	25.00	count	cloves				"Almonds, Raisins"	"Pour the wine into a kettle. Insert cheesecloth bag containing remaining ingredients and boil slowly for 15 minutes, stirring occasionally. Add 1 lb. each blanched almonds and seedless raisins and continue to boil for additional 15 minutes. Remove kettle from stove and place wire grill containing 1 lb. lump sugar over opening. Pour one 750-ml Brandy over sugar, making sure to saturate all of it. Then light sugar with match and let it flame. After sugar has melted, replace kettle cover to extinguish flame. Stir again and remove spice bag. Serve hot in punch cups with a few almonds and raisins."	Punch Cup	3
Georgia Peach	14	Vodka		1.5	oz	 Vodka	0.5	oz	 Peach schnapps	1	oz	 Grenadine	10	oz									Stir first three ingredients in Collins glass. Add ice and stir again. Fill with lemonade.	Collins Glass	14
Georgia Mule	14	Vodka		1	oz	" Peach slice, skinned"	1.5	oz	 Vodka	0.5	oz	 Fresh lemon juice	2	oz	 Peach bitters	3.00	oz	 Ginger beer				Peach Slice	"Muddle 1 peach slice in Collins glass. Add vodka, lemon juice, and bitters, then stir. Fill with ice and ginger beer; stir again. Garnish with a peach slice."	Collins Glass	14
Gentle Ben	14	Vodka		1	oz	 Vodka	1	oz	 Gin	1	oz	 Blanco tequila	10	oz								"Orange Slice, Cherry"	Shake first three ingredients with ice and pour into ice-filled Collins glass. Fill with orange juice and stir. Garnish with an orange slice and a cherry.	Collins Glass	14
East India Cocktail No. 1	6	Brandy		1.5	oz	 Brandy	0.5	oz	 Jamaica Rum	0.5	oz	 Triple Sec	0.5	oz	 Pineapple Juice	1.00	oz	 Angostura Bitters				"Lemon Twist, Cherry"	Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist and a cherry.	Cocktail Glass	6
General Harrison's Eggnog	14	Cocktail Classics		1	oz	 Whole Egg	1	oz	 Powdered Sugar	1	oz	 Red wine										Nutmeg	Shake with ice and strain into collins glass. Fill glass with red wine and stir. Top with nutmeg.	Collins Glass	14
Gables Collins	14	Vodka		1.5	oz	 Vodka	1	oz	 Creme de noyaux	0.5	oz	 Fresh lemon juice	0.5	oz	 Pineapple Juice	1.00	oz	 Soda water				"Lemon Slice, Pineapple Slice"	Shake first four ingredients with ice and strain into ice-filled Collins glass. Fill with soda water. Garnish with a lemon slice and a pineapple slice.	Collins Glass	14
Frozen Brandy and Rum	6	Cocktail Classics		1.5	oz	 Brandy	1	oz	 Light Rum	1	oz	 Lemon Juice	1	oz	 Egg Yolk	1.00	oz	 Powdered Sugar					Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.	Old-Fashioned Glass	6
Frozen Apple	6	Cocktail Classics		1.5	oz	 Applejack	1	oz	 Lime Juice	1	oz	 Sugar	0.5	oz	 Egg White								Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.	Old-Fashioned Glass	6
Frisky Witch	6	Vodka		1	oz	 Vodka	1	oz	 Sambuca													Licorice	Stir in old-fashioned glass. Add ice and stir again. Garnish with licorice.	Old-Fashioned Glass	6
Froth Blower Cocktail	6	Cocktail Classics		1	oz	 Egg White	2	oz	 Gin	1	oz	 Grenadine											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
French Martini	6	Vodka		1.5	oz	 Vodka	0.75	oz	 Black raspberry liqueur	0.75	oz	 Pineapple Juice											Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Flatiron Martini	6	Vodka		1	oz	 Splash triple sec	1.5	oz	 Orange-flavored vodka	1.5	oz	 Lillet Blanc										Orange Slice	Swirl triple sec in chilled cocktail glass to coat inside; discard excess triple sec. Stir vodka and Lillet with ice and strain into glass. Garnish with an orange slice.	Cocktail Glass	6
Favourite Cocktail	6	Cocktail Classics		0.75	oz	 Apricot-Flavored Brandy	0.75	oz	 Dry Vermouth	0.75	oz	 Lemon Juice	0.25	oz	 Gin								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Electric Jam	14	Vodka		1.25	oz	 Vodka	0.5	oz	 Blue curacao	1	oz	 Simple Syrup	1	oz	 Fresh lemon juice			 Lime soda					Pour first four ingredients into ice-filled Collins glass. Fill with lemon-lime soda and stir.	Collins Glass	14
Fairy Belle Cocktail	6	Cocktail Classics		1	oz	 Egg White	1	oz	 Grenadine	0.75	oz	 Apricot-Flavored Brandy	1.5	oz	 Gin								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Duke Cocktail	6	Cocktail Classics		0.5	oz	 Triple Sec	1	oz	 Orange Juice	2	oz	 Lemon Juice	0.5	oz	 Maraschino	1.00	oz	 Whole Egg			 Chilled Champagne		"Add first five ingredients, shake with ice. and strain into champagne flute. Fill with chilled champagne and stir."	Champagne Flute	6
Dreamy Dorini Smoking Martini	6	Vodka		2	oz	 Vodka	0.5	oz	" Smoky Scotch, such as Laphroaig"	4	oz	 Pastis										Lemon Twist	Stir with ice and strain into a chilled cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Dubonnet Highball	7	Cocktail Classics		2	oz	 Dubonnet 	1	oz	ginger ale	1	oz	carbonated water										Lemon Twist	"Put Dubonnet in highball glass with two ice cubes and fill with ginger ale or carbonated water. Garnish with a lemon twist, if desired, and stir."	Highball Glass	7
Dubonnet Fizz	7	Cocktail Classics		0.5	oz	 Juice of Orange	0.25	oz	 Juice of a Lemon	1	oz	 cherry-flavored brandy	2	oz	 Dubonnet								Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.	Highball Glass	7
Dubonnet Cocktail	6	Cocktail Classics		1.5	oz	 Dubonnet	0.75	oz	 Gin	1	oz	 Orange Bitters (if desired)										Lemon Twist	Stir with ice and strain into cocktail glass. Garnish with a lemon twist	Cocktail Glass	6
Doctor Cook	12	Cocktail Classics		0.75	oz	 Gin	1	oz	 Lemon Juice	1	oz	 Maraschino	1	oz	 Egg White								Shake with ice and strain into wine glass.	Red-Wine Glass	12
Desert Sunrise	14	Vodka		1.25	oz	 Vodka	1.5	oz	 Fresh orange juice	1.5	oz	 Pineapple Juice	1	oz	 Grenadine								Pour first three ingredients over crushed ice in Collins glass. Do not stir. Top with grenadine.	Collins Glass	14
Dillatini	6	Cocktail Classics		1.5	oz	 Gin	0.75	oz	 Dry Vermouth													Dilly Bean	Stir or shake with ice and strain into cocktail glass. Garnish with a dilly bean. 	Cocktail Glass	6
Devil's Cocktail	6	Cocktail Classics		0.5	oz	 Lemon Juice	1.5	oz	 Port	1.5	oz	 Dry Vermouth											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Derby Fizz	7	Cocktail Classics		0.5	oz	 Juice of a Lemon	1	oz	 Powdered Sugar	1	count	 Whole Egg	2	oz	 Scotch	0.75	oz	 Triple Sec					Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.	Highball Glass	7
Cubeltini	6	Vodka		3	oz	 Cucumber slices	5	count	Fresh mint leaves	1.5	oz	 Simple Syrup	2	oz	 Vodka	3.00	oz	 Fresh Lime Juice				Miny	"Muddle the cucumber, mint leaves, and syrup. Add vodka and lime juice. Shake and strain into chilled cocktail glass. Garnish with mint."	Cocktail Glass	6
Crocodile Cooler	14	Vodka		1.5	oz	 Citrus-flavored vodka	1	oz	 Melon liqueur	0.75	oz	 Triple Sec	0.75	oz	 Simple Syrup	0.50	oz	 Fresh lemon juice			 Lime soda	"Pineapple Slice, Cherry, Lime Slice"	"Stir first five ingredients in hurricane glass. Add ice, fill with lemonlime soda, and stir again. Garnish with a pineapple slice and a cherry or a lime slice. Serve with a straw."	Hurricane Glass	14
Cosmopolitan	6	Vodka		1.5	oz	 Vodka	0.5	oz	 Fresh Lime Juice	0.5	oz	 Triple Sec	0.5	oz	 Cranberry Juice							Lime Slice	Shake well with ice and strain into chilled cocktail glass. Garnish with a lime slice.	Cocktail Glass	6
Dream Cocktail	6	Brandy		1.5	oz	 Brandy	0.75	oz	 Triple Sec	1	oz	 Anisette											Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Jean Lafitte Cocktail	6	Cocktail Classics		1	oz	 Gin	0.5	oz	 Triple Sec	0.5	oz	 Anis	1	oz	 Powdered Sugar	1.00	oz	 Egg Yolk					Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Japanese Fizz	7	Cocktail Classics		0.5	oz	 Juice of a Lemon	1	oz	 Powdered Sugar	1.5	oz	 Blended whiskey	1	oz	 Port	1.00	oz	 Egg White				Pineapple Slice	Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir. Garnish with a pineapple slice.	Highball Glass	7
Citronella Cooler	14	Vodka		1	oz	 Citrus-flavored vodka	1	oz	 Fresh Lime Juice	2	oz	 Lemonade	1	oz	 Cranberry Juice							Lime Slice	Stir in Collins glass. Add ice and stir again. Squeeze and add lime.	Collins Glass	14
North Pole Cocktail	6	Cocktail Classics		1	oz	 Egg White	0.5	oz	 Lemon Juice	0.5	oz	 Maraschino	1	oz	 Gin							Whipped Cream	Shake with ice and strain into cocktail glass. Top with whipped cream.	Cocktail Glass	6
The Cinquecento	6	Vodka		1.5	oz	 Bison grass vodka (Zubrowka)	0.5	oz	 Benedictine	0.5	oz	 Campari	0.75	oz	 Fresh grapefruit juice	1.00	oz	 Angostura Bitters				Grapefruit Twist	Shake with ice. Strain through wire sieve into chilled cocktail glass. Garnish with a grapefruit twist.	Cocktail Glass	6
New Orleans Gin Fizz	7	Cocktail Classics		0.5	oz	 Juice of a Lemon	0.5	oz	 Juice of a Lime	1	oz	 Powdered Sugar	1	oz	 Egg White	2.00	oz	 Gin	1	oz	" Light cream, 1/2 oz"		Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.	Highball Glass	7
Napoleon	6	Cocktail Classics		2	oz	 Gin	0.5	oz	 Curacao	0.5	oz	 Dubonnet											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Zombie	14	Rum - Daiquiris		1	oz	 Gold rum	1	oz	 151-Proof Rum	1	oz	 Light Rum	1	oz	" each Fresh Lime Juice, lemon juice, pineapple juie, and passion fruit syrup"	0.25	oz	 Demerara Syrup	1	oz	 Tiki (such as Bittermen's 'Elemakule) or Angostura bitters (optional)	Mint	Shake with ice and pour into chilled Collins glass. Garnish with mint.	Collins Glass	14
Kiss the Boys Goodbye	6	Cocktail Classics		0.75	oz	 Sloe gin	0.75	oz	 Brandy	0.5	oz	 Egg White	1	oz	 Juice of a Lemon								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
X.Y.Z. Cocktail	6	Rum - Daiquiris		1	oz	 Light Rum	0.5	oz	 Triple Sec	0.5	oz	 Fresh lemon juice											Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
K.G.B. Cocktail	6	Cocktail Classics		0.5	oz	 Kummel	1.5	oz	 Gin	0.25	oz	 Apricot-Flavored Brandy	0.25	oz	 Lemon Juice							Lemon Twist	Shake with ice and strain into cocktail glass. Garnish with a lemon twist	Cocktail Glass	6
Eye-Opener	5	Cocktail Classics		1	oz	 Egg Yolk	0.5	oz	 Powdered Sugar	1	oz	 Anis	1	oz	 Triple Sec	0.75	oz	 White creme de cacao	2	oz	 Light Rum		Shake with ice and strain into sour glass.	Sour Glass	5
Wiki Waki Woo	14	Rum - Daiquiris		0.5	oz	 Light Rum	0.5	oz	 151-Proof Rum	0.5	oz	" each Vodka, tequila blanco, triple sec"	1	oz	 Amaretto	1.00	oz	" each Fresh orange juice, pineapple juice, cranberry juice"				"Orange Slice, Cherry"	"Stir all ingredients with ice. Pour, with ice, into hurricane or parfait glass. Garnish with an orange slice and a cherry."	Hurricane Glass	14
Elk's Own Cocktail	6	Cocktail Classics		1	oz	 Egg White	1.5	oz	 Blended whiskey	0.75	oz	 Port	0.25	oz	 Juice of a Lemon	1.00	oz	 Powdered Sugar				Pineapple Slice	Shake with ice and strain into cocktail glass. Garnish with a pineapple slice.	Cocktail Glass	6
Eggnog Supreme	3	Cocktail Classics		1	oz	 Medium Eggs	1	oz	 Sugar	1.5	oz	 Whole milk	1	oz	" Heavy Cream, Whipped"	50.00	oz	 Cognac				Nutmeg	"Separate eggs; beat yolks in large serving bowl, adding sugar while beating. Stir in milk and cream. Slowly add cognac and refrigerate for 1 hour. Before serving, whip egg whites stiff. Mix into eggnog, dust with nutmeg."	Punch Cup	3
Egg Sour	6	Cocktail Classics		1	oz	 Whole Egg	1	oz	 Powdered Sugar	0.5	oz	 Juice of a Lemon	2	oz	 Brandy	0.75	oz	 Triple Sec					Shake with ice and strain into old-fashioned glass.	Old-Fashioned Glass	6
White Lion Cocktail	6	Cocktail Classics		1.5	oz	 Light Rum	1	oz	 Fresh lemon juice	0.5	oz	 Simple Syrup	1	oz	 Grenadine	1.00	oz	 Angostura Bitters					Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
White Lily Cocktail	6	Rum - Daiquiris		0.75	oz	 Light Rum	0.75	oz	 Triple Sec	0.75	oz	 Gin	1	oz	 Anisette								Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Ice Cream Flip	5	Rum - Daiquiris		1	oz	 Whole Egg	1	oz	 Maraschino	1	oz	 Triple Sec	1	count	Vanilla Ice Cream							Nutmeg	Shake with ice and strain into sour glass. Top with nutmeg.	Sour Glass	5
Outrigger	6	Cocktail Classics		1	oz	 Peach-flavored brandy	1	oz	 Lime Vodka	1	oz	 Pineapple Juice											Shake with ice and strain into old-fashioned glass over ice cubes.	Old-Fashioned Glass	6
Opera Cocktail	6	Cocktail Classics		1	oz	 Maraschino	0.5	oz	 Dubonnet	1.5	oz	 Gin											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Virginia Dare	6	Rum - Daiquiris		2	oz	 Ripe pear	2	oz	 Dark rum	0.5	oz	 Benedictine	2	oz	 Angostura Bitters							Pear Slice	Muddle 1 pear slice in mixing glass. Add remaining ingredients. Shake with ice and strain through a fine wire sieve into chilled cocktail glass. Garnish with a pear slice.	Cocktail Glass	6
Opening Cocktail	6	Cocktail Classics		0.5	oz	 Grenadine	0.5	oz	 Sweet Vermouth	1.5	oz	 Blended whiskey											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Queen Bee	6	Cocktail Classics		1.5	oz	 Lime Vodka	1	oz	 Coffee-flavored brandy	0.5	oz	 Cream sherry											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Van Vleet	6	Rum - Daiquiris		3	oz	 Light Rum	1	oz	 Maple Syrup	1	oz	 Fresh lemon juice											Shake with ice and strain into ice-filled old-fashioned glass.	Old-Fashioned Glass	6
Zaza Cocktail	6	Cocktail Classics		1.5	oz	 Gin	0.75	oz	 Dubonnet													Orange Twist	Stir with ice and strain into cocktail glass. Garnish with an orange twist	Cocktail Glass	6
The Vacation Cocktail	6	Rum - Daiquiris		1	oz	 Peeled and chopped fresh ginger	0.75	oz	 Fresh Lime Juice	0.5	oz	" each Simple Syrup, light rum, dark rum"	1	oz	 Mango juice	0.50	oz	" each Cranberry Juice, orange juice, spiced rum"				Mango Slice	"Muddle ginger, lime juice, and syrup in mixing glass. Add all but spiced rum. Shake with ice. Strain into chilled cocktail glass and top with spiced rum. Garnish with a mango slice."	Cocktail Glass	6
Dolores	6	Brandy		1	oz	" Brandy, preferably Spanish"	1	oz	 Cherry liqueur	1	oz	 White or dark creme de cacao	1	oz	 Egg White							Nutmeg	Shake without ice. shake with ice and strain into a chilled champagne flute. Top with nutmeg.	Champagne Flute	6
Vesuvio	6	Cocktail Classics		1	oz	 Light Rum	0.5	oz	 Juice of a Lemon	1	oz	 Powdered Sugar	0.5	oz	 Egg White	0.50	oz	 Sweet Vermouth					Shake with ice and strain into old-fashioned glass over ice cubes.	Old-Fashioned Glass	6
Urban Anxiety	6	Rum		1	oz	 Cachaca	1	oz	 Sweet Vermouth	0.75	oz	 Cynar	2	oz	 Angostura Bitters							Flamed Grapefruit Twist	Stir with ice and strain into chilled cocktail glass. Garnish with a flamed grapefruit twist.	Cocktail Glass	6
Virgin	6	Cocktail Classics		1	oz	 Gin	0.5	oz	 White creme de menthe	1	oz	 Forbidden Fruit											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Tropica Cocktail	14	Rum - Daiquiris		2	oz	 Light Rum	3	oz	 Pineapple Juice	1	oz	 Fresh grapefruit juice	1	oz	 Grenadine							Pineapple Slice	Mix ingredients in ice-filled Collins glass. Garnish with a pineapple slice.	Collins Glass	14
Vermouth Cassis	7	Cocktail Classics		0.75	oz	 Creme de Cassis	1.5	oz	 Dry Vermouth														Stir in highball glass with ice cubes and fill with carbonated water. Stir again and serve.	Highball Glass	7
Verboten	6	Cocktail Classics		1.5	oz	 Gin	1	oz	 Forbidden Fruit	1	oz	 Orange Juice	1	oz	 Lemon Juice							Cherry	Shake with ice and strain into cocktail glass. Add brandied cherry.	Cocktail Glass	6
Velvet Hammer No. 2	6	Cocktail Classics		1.5	oz	 Strega	1	oz	 White creme de cacao	1	oz	 Light cream											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Velvet Hammer No. 1	6	Cocktail Classics		1.5	oz	 Vodka	1	oz	 Creme de Cacao	1	oz	 Light cream											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Ulanda Cocktail	6	Cocktail Classics		1.5	oz	 Gin	0.75	oz	 Triple Sec	0.25	oz	 Anis											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Torridora Cocktail	6	Rum - Daiquiris		1.5	oz	 Light Rum	0.5	oz	 Coffee-flavored brandy	1.5	oz	 half-and-half	1	oz	 151-Proof Rum								Shake first three ingredients with ice and strain into chilled cocktail glass. Top with 151-proof rum.	Cocktail Glass	6
Boston Sour	5	Cocktail Classics		0.5	oz	 Juice of a Lemon	1	oz	 Powdered Sugar	2	oz	 Blended whiskey	1	oz	 Egg White							"Lemon Slice, Cherry"	Shake with cracked ice and strain into sour glass. Garnish with a lemon slice and a cherry.	Sour Glass	5
Three Miller Cocktail	6	Rum - Daiquiris		3	oz	 Fresh cherry tomatoes	2	oz	 Dark rum	1	oz	 Fresh Lime Juice	1	oz	 Simple Syrup	1.00	oz	 Angostura Bitters					Muddle tomatoes in mixing glass. Add remaining ingredients. Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Bird-of-Paradise Fizz	7	Cocktail Classics		0.5	oz	 Juice of a Lemon	1	oz	 Powdered Sugar	1	oz	 Egg White	1	oz	 Grenadine	2.00	oz	 Gin					Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water.	Highball Glass	7
Biffy Cocktail	6	Cocktail Classics		0.5	oz	 Juice of a Lemon	1	oz	 Swedish Punch	1.5	oz	 Gin											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Between-The-Sheets Cocktail	6	Cocktail Classics		0.25	oz	 Juice of a Lemon	0.5	oz	 Brandy	0.5	oz	 Triple Sec	0.5	oz	 Light Rum								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Third-Rail Cocktail	6	Rum - Daiquiris		0.75	oz	 Light Rum	0.75	oz	 Apple Brandy	0.75	oz	 Brandy	0.25	oz	 Anisette								Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Bentley	6	Cocktail Classics		1.5	oz	 Apple Brandy	1	oz	 Dubonnet													Lemon Twist	Stir with cracked ice and strain into cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Tahiti Club	6	Rum - Daiquiris		2	oz	 Light Rum	0.5	oz	 Fresh lemon juice	0.5	oz	 Fresh Lime Juice	0.5	oz	 Pineapple Juice	0.25	oz	 Maraschino liqueur				Lemon Slice	Shake with ice and strain into ice-filled old-fashioned glass. Garnish with a lemon slice.	Old-Fashioned Glass	6
Barton Special	6	Cocktail Classics		0.5	oz	 Applejack	0.25	oz	 Scotch	0.25	oz	 Gin											Shake with ice and strain into old-fashioned glass over ice cubes.	Old-Fashioned Glass	6
Barnaby's Buffalo Blizzard	14	Cocktail Classics		1	oz	 White creme de cacao	0.75	oz	 Vodka	1	oz	 Galliano	1	count	Vanilla Ice Cream	1.00	oz	 Grenadine			 Whipped cream and 3/4 oz		Shake or blend. Serve in a collins glass.	Collins Glass	14
Susie Taylor	14	Rum - Daiquiris		2	oz	 Light Rum	0.5	oz	 Fresh Lime Juice	1	oz	 Ginger ale											Pour rum and lime juice into ice-filled Collins glass. Fill with ginger ale and stir.	Collins Glass	14
Baltimore Bracer	6	Cocktail Classics		1	oz	 Anisette	1	oz	 Brandy	1	oz	 Egg White											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Bachelor's Bait Cocktail	6	Cocktail Classics		1.5	oz	 Gin	1	oz	 Egg White	1	oz	 Orange Bitters	0.5	oz	 Grenadine								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Bushranger	6	Cocktail Classics		1.5	oz	 Light Rum	1	oz	 Dubonnet	1	oz	 Bitters											Stir with cracked ice and strain into cocktail glass.	Cocktail Glass	6
Sunset at Gowanus	6	Rum - Daiquiris		2	oz	 Dark rum	0.75	oz	 Fresh Lime Juice	0.5	oz	 Maple Syrup	0.25	oz	 Brandy	0.25	oz	 Yellow Chartreuse					Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Bulldog Highballl	7	Cocktail Classics		0.5	oz	 Juice of Orange	2	oz	 Gin														Pour into highball glass over ice cubes and fill with ginger ale. Stir.	Highball Glass	7
Bucks Fizz (Mimosa)	14	Cocktail Classics		2	oz	 Orange Juice	1	oz	 Chilled Champagne														"Pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with Chilled Champagne, and stir very gently."	Collins Glass	14
Buckjones	7	Cocktail Classics		1.5	oz	 Light Rum	1	oz	 Sweet Sherry	0.5	oz	 Juice of a Lime											Pour ingredients into highball glass over ice cubes and stir. Fill with ginger ale.	Highball Glass	7
Stormy Colada	7	Rum - Daiquiris		2	oz	 Dark rum	2	oz	 Pineapple Juice	1	oz	 Ginger beer										"Pineapple Slice, Mint, Candied Ginger"	Add rum and pineapple juice to ice-filled highball glass. Fill with ginger beer and stir. Garnish with a skewer.	Highball Glass	7
Bronx SIlver Cocktail	5	Cocktail Classics		0.5	oz	 Juice of Orange	1	oz	 Egg White	0.5	oz	 Dry Vermouth	1	oz	 Gin								Shake with ice and strain into sour glass.	Sour Glass	5
Bronx Golden Cocktail	5	Cocktail Classics		1	oz	 Gin	0.5	oz	 Sweet Vermouth	0.5	oz	 Dry Vermouth	0.25	oz	 Orange							Egg Yolk	Shake with ice and strain into sour glass.	Sour Glass	5
Stone Wall	6	Rum - Daiquiris		3	count	thin Peeled fresh ginger	0.75	oz	 Demerara Syrup	1.5	oz	 Fresh apple cider	1.5	oz	 Light Rum			 Jamaican ginger beer				"Apple Slice, Lime Slice"	Muddle ginger and syrup in mixing glass. Add cider and rum and shake with ice. Strain into ice-filled old-fashioned glass and fill with ginger beer. Garnish with an apple slice and a lime slice.	Old-Fashioned Glass	6
Depth Bomb	6	Brandy		1	oz	 Apple Brandy	1	oz	 Brandy	1	oz	 Fresh lemon juice	1	oz	 Grenadine								Shake with ice and strain into ice-filled old-fashioned glass.	Old-Fashioned Glass	6
Stone Cocktail	6	Rum - Daiquiris		1	oz	 Dry Sherry	0.5	oz	 Light Rum	0.5	oz	 Sweet Vermouth											Stir with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Almeria	6	Cocktail Classics		1.5	oz	 17-year-old J. Wray and Nephew Ltd. Rum	1	oz	 Coffee-flavored liqueur	1	oz	 Egg White											Shake all ingredients with cracked ice and strain into cocktail glass.	Cocktail Glass	6
Aunt Jemima	1	Cocktail Classics		0.5	oz	 Brandy	0.5	oz	 White creme de cacao	0.5	oz	 Benedictine											"Pour carefully, in order given, into a pousse-cafe glass so that ingredients do not mix."	Pousse-Cafe_ Glass	1
Spanish Town Cocktail	6	Rum - Daiquiris		2	oz	 Light Rum	0.5	oz	 Triple Sec														Stir with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Apricot Lady	6	Cocktail Classics		1.25	oz	 Light Rum	1	oz	 Apricot-Flavored Brandy	0.25	oz	 Triple Sec	1	oz	 Lime Juice	1.00	oz	 Egg White				Orange Slice	Shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Garnish with an orange slice.	Old-Fashioned Glass	6
Apricot Anise Collins	14	Cocktail Classics		1.5	oz	 Gin	0.5	oz	 Apricot-Flavored Brandy	1.5	oz	 Anisette	1	oz	 Lemon Juice							Lemon Slice	Shake with ice and strain into Collins glass over ice. Fill with carbonated water and stir lightly. Garnish with a lemon slice.	Collins Glass	14
Apple Rum Rickey	7	Cocktail Classics		0.75	oz	 Applejack	0.75	oz	 Light Rum	0.25	oz	 Lime										Lime Slice	Pour applejack and rum into highball glass over ice cubes. Fill with carbonated water. Squeeze lime and drop into glass. Stir.	Highball Glass	7
Sloppy Joe's Cocktail No. 1	6	Rum - Daiquiris		0.75	oz	 Light Rum	0.75	oz	 Dry Vermouth	0.5	oz	 Triple Sec	1	oz	 Fresh Lime Juice	0.50	oz	 Grenadine					Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Applejack Punch	3	Cocktail Classics		1.75	oz	Applejack	4	oz	 Grenadine	16	oz	 Orange Juice	1	count	Ginger ale				1	oz	 Whole Egg	Apple Slice	Combine first three ingredients in punch bowl with large block of ice. Add ginger ale and garnish with an apple slice.	Punch Cup	3
Brandy Flip	5	Cocktail Classics		1	count	Whole Egg	1	oz	 Powdered Sugar	1.5	oz	 Brandy	2	oz	 Light Cream (if desired)							Nutmeg	Shake with ice and strain into sour glass. Top with nutmeg.	Sour Glass	5
Sir Walter Cocktail	6	Rum - Daiquiris		0.75	oz	 Light Rum	0.75	oz	 Brandy	1	oz	 Grenadine	1	oz	 Triple Sec	0.50	oz	 Fresh lemon juice					Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Saxon Cocktail	6	Rum - Daiquiris		1.75	oz	 Light Rum	0.5	oz	 Fresh Lime Juice	0.5	oz	 Grenadine	1	count	Orange twist							Orange Twist	Shake with ice and strain into chilled cocktail glass. Garnish with an orange twist.	Cocktail Glass	6
Boston Bullet	6	Cocktail Classics		1.5	oz	 Gin	0.75	oz	 Dry Vermouth													Olive	Stir or shake with ice and strain into cocktail glass.  Garnish with an olive stuff with an almond.	Cocktail Glass	6
